Country,date,n.first_dose,n.second_dose,first_dose,second_dose,n.first_dose_perc,n.second_dose_perc,first_dose_perc,second_dose_perc,age_group,Poblacion
Italy,2021-01-25,4839,64677,1364761,177280,8.16604583455217e-05,0.00109145556197836,0.023030999957035,0.00299168548367309,Total,59257566
Italy,2021-01-26,4291,76480,1369052,253760,7.24126941022181e-05,0.0012906368783355,0.0231034126511372,0.00428232236200859,Total,59257566
Italy,2021-01-27,6308,64828,1375360,318588,0.000106450541691166,0.00109400375978993,0.0232098631928284,0.00537632612179852,Total,59257566
Italy,2021-01-28,4868,89241,1380228,407829,8.21498473292001e-05,0.00150598490663623,0.0232920130401576,0.00688231102843475,Total,59257566
Italy,2021-01-29,4972,93970,1385200,501799,8.39048974775643e-05,0.00158578906194021,0.0233759179376352,0.00846810009037496,Total,59257566
Italy,2021-01-30,4153,86500,1389353,588299,7.00838775591964e-05,0.00145972920993751,0.0234460018151944,0.00992782930031247,Total,59257566
Italy,2021-01-31,2627,57264,1391980,645563,4.43318917283913e-05,0.000966357612460829,0.0234903337069228,0.0108941869127733,Total,59257566
Italy,2021-02-01,4302,81760,1396282,727323,7.2598324406372e-05,0.00137973942432938,0.0235629320313291,0.0122739263371027,Total,59257566
Italy,2021-02-02,6430,82034,1402712,809357,0.000108509350519054,0.00138436330645103,0.0236714413818482,0.0136582896435537,Total,59257566
Italy,2021-02-03,9049,91067,1411761,900424,0.000152706238389879,0.00153679953712577,0.0238241476202381,0.0151950891806795,Total,59257566
Italy,2021-02-04,13549,95082,1425310,995506,0.000228645908271021,0.00160455459814195,0.0240527935285091,0.0167996437788214,Total,59257566
Italy,2021-02-05,17901,89919,1443211,1085425,0.000302088006787184,0.00151742648356498,0.0243548815352963,0.0183170702623864,Total,59257566
Italy,2021-02-06,14624,63442,1457835,1148867,0.000246787051631517,0.00107061434146654,0.0246016685869278,0.0193876846038529,Total,59257566
Italy,2021-02-07,9484,32816,1467319,1181683,0.000160047073145056,0.000553785823737681,0.0247617156600728,0.0199414704275906,Total,59257566
Italy,2021-02-08,26803,40200,1494122,1221883,0.000452313549294279,0.000678394384271538,0.0252140292093671,0.0206198648118622,Total,59257566
Italy,2021-02-09,34412,32619,1528534,1254502,0.000580719093322193,0.000550461353745107,0.0257947483026893,0.0211703261656073,Total,59257566
Italy,2021-02-10,44927,28100,1573461,1282602,0.000758164788611129,0.000474201049702244,0.0265529130913004,0.0216445272153095,Total,59257566
Italy,2021-02-11,54919,19838,1628380,1302440,0.000926784606711656,0.000334775815800467,0.0274796976980121,0.02197930303111,Total,59257566
Italy,2021-02-12,58324,15476,1686704,1317916,0.000984245623588387,0.000261164962462346,0.0284639433216005,0.0222404679935723,Total,59257566
Italy,2021-02-13,45702,6766,1732406,1324682,0.000771243287312881,0.000114179512536846,0.0292351866089134,0.0223546475061092,Total,59257566
Italy,2021-02-14,27175,2598,1759581,1327280,0.00045859122867112,4.38425027447128e-05,0.0296937778375845,0.0223984900088539,Total,59257566
Italy,2021-02-15,56238,6041,1815819,1333321,0.000949043367727929,0.000101944787944885,0.0306428212053124,0.0225004347967988,Total,59257566
Italy,2021-02-16,64511,6186,1880330,1339507,0.00108865423193386,0.000104391732863277,0.0317314754372463,0.0226048265296621,Total,59257566
Italy,2021-02-17,70170,9573,1950500,1349080,0.00118415258567995,0.000161548991060483,0.0329156280229262,0.0227663755207225,Total,59257566
Italy,2021-02-18,81330,8111,2031830,1357191,0.00137248296698518,0.00013687703609021,0.0342881109899114,0.0229032525568127,Total,59257566
Italy,2021-02-19,85400,6730,2117230,1363921,0.00144116617952212,0.000113571995177797,0.0357292771694335,0.0230168245519905,Total,59257566
Italy,2021-02-20,73072,4502,2190302,1368423,0.00123312523501218,7.59734208455339e-05,0.0369624024044457,0.0230927979728361,Total,59257566
Italy,2021-02-21,48273,2238,2238575,1370661,0.000814630152038307,3.77673291542214e-05,0.037777032556484,0.0231305653019903,Total,59257566
Italy,2021-02-22,99167,5380,2337742,1376041,0.00167349094291183,9.07900942134545e-05,0.0394505234993958,0.0232213553962038,Total,59257566
Italy,2021-02-23,99760,5471,2437502,1381512,0.00168349810385395,9.23257630932732e-05,0.0411340216032498,0.023313681159297,Total,59257566
Italy,2021-02-24,112756,8131,2550258,1389643,0.00190281187047068,0.000137214545734126,0.0430368334737205,0.0234508957050312,Total,59257566
Italy,2021-02-25,114665,12295,2664923,1401938,0.00193502716598248,0.000207484053597476,0.044971860639703,0.0236583797586286,Total,59257566
Italy,2021-02-26,121430,15365,2786353,1417303,0.00204918980303713,0.000259291783938611,0.0470210504427401,0.0239176715425672,Total,59257566
Italy,2021-02-27,113220,11940,2899573,1429243,0.00191064209420954,0.000201493257417964,0.0489316925369496,0.0241191647999852,Total,59257566
Italy,2021-02-28,68951,8205,2968524,1437448,0.00116358137288325,0.000138463331416616,0.0500952739098329,0.0242576281314018,Total,59257566
Italy,2021-03-01,109483,24488,3078007,1461936,0.0018475784172438,0.00041324680801098,0.0519428523270767,0.0246708749394128,Total,59257566
Italy,2021-03-02,129087,30794,3207094,1492730,0.00217840537021045,0.000519663598737754,0.0541212576972871,0.0251905385381506,Total,59257566
Italy,2021-03-03,143132,42177,3350226,1534907,0.00241542151765059,0.000711757212572653,0.0565366792149377,0.0259022957507232,Total,59257566
Italy,2021-03-04,148374,47250,3498600,1582157,0.00250388279532102,0.000797366533751994,0.0590405620102587,0.0266996622844752,Total,59257566
